,Sport,2020 Points,2016 Points,Weighted Average,Number of Events
0,Basketball,0.8695652173913044,0.8695652173913044,0.8695652173913044,2
1,Golf,0.8695652173913044,0.02173913043478261,0.7000000000000001,2
2,Waterpolo,0.4347826086956522,0.4347826086956522,0.4347826086956522,2
3,Volleyball,0.4347826086956522,0.04347826086956522,0.35652173913043483,2
4,Beach Volleyball,0.4347826086956522,0.02173913043478261,0.3521739130434783,2
5,Basketball 3x3,0.4347826086956522,0.0,0.3478260869565218,2
6,Surfing,0.4347826086956522,0.0,0.3478260869565218,2
7,Swimming,0.3093167701863354,0.4285714285714286,0.3331677018633541,35
8,Artistic Gymnastics,0.14285714285714285,0.29192546583850937,0.17267080745341618,14
9,Athletics,0.1367753623188406,0.26177536231884063,0.16177536231884063,48
10,Wrestling,0.1642512077294686,0.09903381642512078,0.15120772946859903,18
11,Shooting,0.18550724637681162,0.0,0.1484057971014493,15
12,Cycling BMX Racing,0.0,0.47826086956521746,0.0956521739130435,2
13,Taekwondo,0.10869565217391305,0.005434782608695653,0.08804347826086957,8
14,Triathlon,0.014492753623188408,0.2898550724637681,0.06956521739130436,3
15,Canoe Sprint,0.08695652173913045,0.0,0.06956521739130436,10
16,Fencing,0.07608695652173914,0.02173913043478261,0.06521739130434784,12
17,Cycling Track,0.07608695652173914,0.014492753623188408,0.063768115942029,12
18,Cycling Road,0.0,0.2173913043478261,0.04347826086956522,4
19,Sport Climbing,0.04347826086956522,0.0,0.03478260869565218,4
20,Cycling BMX Freestyle,0.04347826086956522,0.0,0.03478260869565218,2
21,Boxing,0.023411371237458196,0.07692307692307693,0.03411371237458194,13
22,Equestrian,0.028985507246376815,0.028985507246376815,0.028985507246376815,6
23,Diving,0.027173913043478264,0.027173913043478264,0.027173913043478264,8
24,Judo,0.0,0.11594202898550726,0.023188405797101453,15
25,Skateboarding,0.02173913043478261,0.0,0.01739130434782609,4
26,Football,0.02173913043478261,0.0,0.01739130434782609,2
27,Rowing,0.0,0.06832298136645963,0.013664596273291927,14
28,Weightlifting,0.013043478260869568,0.004347826086956523,0.011304347826086959,10
29,Tennis,0.0,0.03478260869565218,0.006956521739130437,5
30,Archery,0.0,0.026086956521739136,0.005217391304347827,5
31,Sailing,0.0,0.004347826086956523,0.0008695652173913046,10
32,Other,0.0,0.0,0.0,36
